"n_total","effect","sd","power"
40,3,15,0.0921702728786439
50,3,15,0.105128839609805
60,3,15,0.117936124397597
70,3,15,0.130654211701216
80,3,15,0.143316542323056
90,3,15,0.15594105358042
100,3,15,0.168536670710203
110,3,15,0.181106819347177
120,3,15,0.193651459562528
130,3,15,0.206168327057357
140,3,15,0.21865372248695
150,3,15,0.231103030267565
160,3,15,0.243511068728795
170,3,15,0.255872331479012
180,3,15,0.268181156542174
190,3,15,0.280431846334194
200,3,15,0.29261875345421
210,3,15,0.304736342256974
220,3,15,0.316779232986128
230,3,15,0.328742233171289
240,3,15,0.340620359608757
250,3,15,0.352408853306361
260,3,15,0.364103189123979
270,3,15,0.37569908138547
280,3,15,0.387192486413182
290,3,15,0.398579602701778
300,3,15,0.409856869276883
310,3,15,0.421020962657444
320,3,15,0.432068792746149
330,3,15,0.44299749790094
340,3,15,0.45380443938639
350,3,15,0.464487195362007
360,3,15,0.475043554532347
370,3,15,0.485471509558619
380,3,15,0.495769250311765
390,3,15,0.505935157031367
400,3,15,0.515967793442332
410,3,15,0.525865899871354
420,3,15,0.535628386397158
430,3,15,0.545254326062045
440,3,15,0.554742948167003
450,3,15,0.564093631668315
460,3,15,0.573305898690084
470,3,15,0.582379408164155
480,3,15,0.591313949606497
490,3,15,0.600109437037121
500,3,15,0.608765903048897
510,3,15,0.61728349302926
520,3,15,0.625662459537605
530,3,15,0.633903156840174
540,3,15,0.642006035603428
550,3,15,0.649971637746159
560,3,15,0.657800591450035
570,3,15,0.665493606327739
580,3,15,0.673051468747462
590,3,15,0.680475037312139
600,3,15,0.687765238491508
40,5,15,0.182501953626188
50,5,15,0.217268148076202
60,5,15,0.251757455654091
70,5,15,0.285856456106503
80,5,15,0.319444760439933
90,5,15,0.352408853306361
100,5,15,0.384647451790324
110,5,15,0.41607331852813
120,5,15,0.446613465026184
130,5,15,0.476208591932842
140,5,15,0.504812168371147
150,5,15,0.532389353598817
160,5,15,0.558915868601144
170,5,15,0.584376876334691
180,5,15,0.608765903048897
190,5,15,0.63208381834737
200,5,15,0.654337883048977
210,5,15,0.675540868745515
220,5,15,0.695710249782901
230,5,15,0.714867466420028
240,5,15,0.73303725668939
250,5,15,0.750247053728162
260,5,15,0.766526444904444
270,5,15,0.781906688828427
280,5,15,0.796420286246067
290,5,15,0.810100600819435
300,5,15,0.822981525873207
310,5,15,0.8350971933096
320,5,15,0.84648172104949
330,5,15,0.857168995534331
340,5,15,0.867192486013755
350,5,15,0.876585087541203
360,5,15,0.885378989800042
370,5,15,0.893605569081828
380,5,15,0.901295300934066
390,5,15,0.908477691185053
400,5,15,0.915181223236641
410,5,15,0.921433319691127
420,5,15,0.927260316545083
430,5,15,0.932687448340521
440,5,15,0.937738842811993
450,5,15,0.942437523707028
460,5,15,0.946805420586793
470,5,15,0.950863384534196
480,5,15,0.954631208808066
490,5,15,0.958127653584865
500,5,15,0.961370474024026
510,5,15,0.964376450979759
520,5,15,0.96716142376151
530,5,15,0.969740324417648
540,5,15,0.972127213082684
550,5,15,0.974335313987979
560,5,15,0.976377051789824
570,5,15,0.978264087917311
580,5,15,0.980007356686118
590,5,15,0.981617100963439
600,5,15,0.983102907204208
40,7,15,0.314109759498049
50,7,15,0.378262165939896
60,7,15,0.439367999693603
70,7,15,0.496905333654409
80,7,15,0.550542778710335
90,7,15,0.600109437037121
100,7,15,0.645563215551598
110,7,15,0.686961771925533
120,7,15,0.72443730990343
130,7,15,0.75817538548204
140,7,15,0.788397485487409
150,7,15,0.815346988653925
160,7,15,0.839278073935615
170,7,15,0.860447144564687
180,7,15,0.879106363774595
190,7,15,0.895498936432174
200,7,15,0.909855813254143
210,7,15,0.922393536971968
220,7,15,0.933312990561936
230,7,15,0.942798845264723
240,7,15,0.951019539985181
250,7,15,0.958127653584865
260,7,15,0.964260557602695
270,7,15,0.969541259263699
280,7,15,0.974079363552468
290,7,15,0.977972098973238
300,7,15,0.981305364743893
310,7,15,0.984154767923991
320,7,15,0.986586627686439
330,7,15,0.988658930912984
340,7,15,0.990422228800089
350,7,15,0.991920468448138
360,7,15,0.993191756686948
370,7,15,0.994269055848855
380,7,15,0.995180812995004
390,7,15,0.995951525364361
400,7,15,0.99660224566001
410,7,15,0.997151031306317
420,7,15,0.99761334207954
430,7,15,0.998002390595582
440,7,15,0.998329450081646
450,7,15,0.998604123703539
460,7,15,0.998834579498597
470,7,15,0.999027754700221
480,7,15,0.999189532952538
490,7,15,0.999324897616862
500,7,15,0.999438064075904
510,7,15,0.999532593654434
520,7,15,0.999611491501569
530,7,15,0.999677290523212
540,7,15,0.999732123215515
550,7,15,0.999777783032213
560,7,15,0.999815776720646
570,7,15,0.999847368882494
580,7,15,0.999873619855147
590,7,15,0.999895417866862
600,7,15,0.999913506292348
