"effect","sd","power","dropout","control","treatment","total"
3,10,0.8,0.05,184,184,368
3,10,0.8,0.1,194,194,388
3,10,0.8,0.2,219,219,438
3,10,0.9,0.05,246,246,492
3,10,0.9,0.1,260,260,520
3,10,0.9,0.2,292,292,584
3,15,0.8,0.05,414,414,828
3,15,0.8,0.1,437,437,874
3,15,0.8,0.2,491,491,982
3,15,0.9,0.05,554,554,1108
3,15,0.9,0.1,584,584,1168
3,15,0.9,0.2,657,657,1314
3,20,0.8,0.05,735,735,1470
3,20,0.8,0.1,776,776,1552
3,20,0.8,0.2,873,873,1746
3,20,0.9,0.05,984,984,1968
3,20,0.9,0.1,1038,1038,2076
3,20,0.9,0.2,1168,1168,2336
5,10,0.8,0.05,67,67,134
5,10,0.8,0.1,70,70,140
5,10,0.8,0.2,79,79,158
5,10,0.9,0.05,89,89,178
5,10,0.9,0.1,94,94,188
5,10,0.9,0.2,106,106,212
5,15,0.8,0.05,149,149,298
5,15,0.8,0.1,157,157,314
5,15,0.8,0.2,177,177,354
5,15,0.9,0.05,200,200,400
5,15,0.9,0.1,211,211,422
5,15,0.9,0.2,237,237,474
5,20,0.8,0.05,265,265,530
5,20,0.8,0.1,280,280,560
5,20,0.8,0.2,314,314,628
5,20,0.9,0.05,354,354,708
5,20,0.9,0.1,374,374,748
5,20,0.9,0.2,421,421,842
7,10,0.8,0.05,34,34,68
7,10,0.8,0.1,36,36,72
7,10,0.8,0.2,41,41,82
7,10,0.9,0.05,46,46,92
7,10,0.9,0.1,48,48,96
7,10,0.9,0.2,54,54,108
7,15,0.8,0.05,76,76,152
7,15,0.8,0.1,81,81,162
7,15,0.8,0.2,91,91,182
7,15,0.9,0.05,102,102,204
7,15,0.9,0.1,108,108,216
7,15,0.9,0.2,121,121,242
7,20,0.8,0.05,135,135,270
7,20,0.8,0.1,143,143,286
7,20,0.8,0.2,161,161,322
7,20,0.9,0.05,181,181,362
7,20,0.9,0.1,191,191,382
7,20,0.9,0.2,215,215,430
