"n_total","nsim","effect","sd","baseline_correlation","dropout","allocation_ratio","empirical_power","mcse","mean_estimate","bias","mean_analyzed_n"
828,1000,3,15,0.3,0.05,1,0.838,0.0116514376795312,-2.99705516486519,0.00294483513481003,786.688
298,1000,5,15,0.3,0.05,1,0.839,0.0116223491601311,-5.06656418604294,-0.0665641860429371,282.918
152,1000,7,15,0.3,0.05,1,0.832,0.0118226900492232,-7.0175201823018,-0.017520182301797,144.449
874,1000,3,15,0.3,0.1,1,0.84,0.0115931013969515,-2.98938040612067,0.0106195938793254,786.7
314,1000,5,15,0.3,0.1,1,0.823,0.0120694241784768,-4.98625545321323,0.0137445467867749,282.499
162,1000,7,15,0.3,0.1,1,0.811,0.012380589646701,-6.91199652857783,0.0880034714221747,145.567
982,1000,3,15,0.3,0.2,1,0.827,0.011961229033841,-3.00492470802103,-0.00492470802103284,785.683
354,1000,5,15,0.3,0.2,1,0.848,0.0113532374237483,-4.98329302453688,0.0167069754631228,282.909
182,1000,7,15,0.3,0.2,1,0.852,0.0112292475259921,-7.05567868032042,-0.0556786803204243,145.64
930,1000,3,15,0.3,0.05,2,0.822,0.0120961150788177,-2.9521926134383,0.0478073865617006,883.658
336,1000,5,15,0.3,0.05,2,0.85,0.0112915897906362,-5.02596378136956,-0.0259637813695592,319.159
171,1000,7,15,0.3,0.05,2,0.817,0.0122274690758145,-7.02043570955365,-0.0204357095536514,162.595
983,1000,3,15,0.3,0.1,2,0.83,0.0118785521003193,-2.99565131164587,0.0043486883541255,884.741
354,1000,5,15,0.3,0.1,2,0.827,0.011961229033841,-5.00725958008474,-0.00725958008474059,318.055
182,1000,7,15,0.3,0.1,2,0.827,0.011961229033841,-6.95022932746546,0.0497706725345362,163.657
1104,1000,3,15,0.3,0.2,2,0.837,0.0116803681448831,-3.01058049579492,-0.0105804957949203,882.939
398,1000,5,15,0.3,0.2,2,0.833,0.01179453263169,-4.97909133187201,0.0209086681279871,317.831
204,1000,7,15,0.3,0.2,2,0.818,0.0122014753206323,-7.02265449351364,-0.0226544935136443,163.313
828,1000,3,15,0.6,0.05,1,0.926,0.00827792244467173,-2.9829185495393,0.0170814504607049,786.694
298,1000,5,15,0.6,0.05,1,0.93,0.00806845710157773,-4.94962916308483,0.0503708369151665,282.905
152,1000,7,15,0.6,0.05,1,0.924,0.00837997613361757,-6.99540601911829,0.00459398088170904,144.24
874,1000,3,15,0.6,0.1,1,0.939,0.00756828910652864,-3.00129823846243,-0.00129823846243449,786.458
314,1000,5,15,0.6,0.1,1,0.941,0.00745110730026081,-5.00423686687827,-0.00423686687827196,282.88
162,1000,7,15,0.6,0.1,1,0.935,0.00779583221984671,-6.98600882507709,0.013991174922908,145.914
982,1000,3,15,0.6,0.2,1,0.939,0.00756828910652864,-2.98022863302725,0.0197713669727504,785.905
354,1000,5,15,0.6,0.2,1,0.941,0.00745110730026081,-4.94476662668317,0.0552333733168284,283.272
182,1000,7,15,0.6,0.2,1,0.938,0.00762600813007696,-6.98816290210622,0.0118370978937792,145.566
930,1000,3,15,0.6,0.05,2,0.941,0.00745110730026081,-2.99655142976343,0.00344857023657008,883.741
336,1000,5,15,0.6,0.05,2,0.914,0.00886588969026798,-4.98760193858448,0.0123980614155164,319.045
171,1000,7,15,0.6,0.05,2,0.938,0.00762600813007696,-7.12693167453811,-0.126931674538112,162.535
983,1000,3,15,0.6,0.1,2,0.928,0.00817410545564467,-2.9370666231987,0.0629333768013036,884.753
354,1000,5,15,0.6,0.1,2,0.928,0.00817410545564467,-4.94190756782018,0.0580924321798229,318.986
182,1000,7,15,0.6,0.1,2,0.933,0.00790638982089803,-7.0051734673923,-0.00517346739229474,163.955
1104,1000,3,15,0.6,0.2,2,0.933,0.00790638982089802,-2.97374105755323,0.0262589424467743,883.354
398,1000,5,15,0.6,0.2,2,0.943,0.00733150734842434,-5.04200620502852,-0.042006205028521,318.066
204,1000,7,15,0.6,0.2,2,0.928,0.00817410545564467,-7.01956709453521,-0.0195670945352058,163.244
