"term","odds_ratio","lower","upper","p_value"
"(Intercept)",0.00747905179582246,0.00298948843304391,0.0187109657780615,1.26483584374467e-25
"age",1.02805762094011,1.01668484570185,1.03955761359206,1.08515564644904e-06
"female",0.9811850888141,0.840363050520242,1.14560507856115,0.81009982058189
"comorbidity",1.15476568159226,1.07956595398288,1.2352036246267,2.80948021400472e-05
"cancerColorectal",1.08865515103737,0.843580919434905,1.40492750674602,0.513893472901166
"cancerLung",1.17882801546579,0.916140282843081,1.51683701292397,0.20087413343487
"cancerPancreatic",1.33915967731339,1.04392522979777,1.71788993134068,0.021544468543612
"cancerProstate",1.23504973725078,0.961166521934824,1.58697563707557,0.0988679592983681
"integrated",1.4279871200713,1.22302193807081,1.66730223850772,6.5827158314926e-06
"prior_referral",1.88058724174207,1.60661441288051,2.20128012387381,3.7816683103655e-15
"specialist",1.16112921594967,0.994542654909324,1.35561913757719,0.0586588188979455
